,longitude,latitude,housing_median_age,total_rooms,total_bedrooms,population,households,median_income,ocean_proximity,rooms_per_household,bedrooms_per_room,population_per_household,median_house_value
18304,-122.75,38.48,4.0,6487.0,1112.0,2958.0,1131.0,4.5417,1H_OCEAN,5.735632183908046,0.17141976260212732,2.6153846153846154,197400.0
19218,-119.29,34.44,34.0,4314.0,878.0,2361.0,831.0,3.2279,NEAR_OCEAN,5.191335740072202,0.20352341214649977,2.8411552346570397,243100.0
17768,-122.4,40.57,23.0,1321.0,259.0,749.0,222.0,1.655,INLAND,5.95045045045045,0.19606358819076458,3.373873873873874,90100.0
2967,-119.05,35.32,11.0,7035.0,1455.0,3525.0,1387.0,3.4827,INLAND,5.072098053352559,0.2068230277185501,2.5414563806777215,93600.0
7694,-118.14,33.86,37.0,1404.0,257.0,652.0,258.0,4.2062,1H_OCEAN,5.441860465116279,0.18304843304843305,2.5271317829457365,195400.0
18883,-119.38,36.55,31.0,2342.0,439.0,1411.0,465.0,3.017,INLAND,5.036559139784946,0.1874466268146883,3.0344086021505374,72000.0
10300,-117.88,33.71,30.0,1739.0,359.0,1914.0,369.0,3.5551,1H_OCEAN,4.712737127371274,0.20644048303622772,5.186991869918699,185200.0
5571,-118.26,34.13,37.0,196.0,74.0,194.0,68.0,1.2188,1H_OCEAN,2.8823529411764706,0.37755102040816324,2.8529411764705883,218800.0
19296,-119.26,34.27,42.0,918.0,204.0,394.0,204.0,4.0069,NEAR_OCEAN,4.5,0.2222222222222222,1.9313725490196079,214300.0
4105,-118.21,34.1,36.0,2000.0,533.0,1234.0,535.0,3.7437,1H_OCEAN,3.7383177570093458,0.2665,2.3065420560747665,241700.0
13632,-117.02,32.68,14.0,3986.0,675.0,2065.0,702.0,5.7192,NEAR_OCEAN,5.678062678062678,0.16934269944806823,2.9415954415954415,267400.0
10955,-118.0,33.76,26.0,1876.0,455.0,1499.0,436.0,2.925,1H_OCEAN,4.302752293577981,0.24253731343283583,3.438073394495413,176000.0
12555,-121.54,38.29,47.0,1396.0,254.0,630.0,218.0,2.8616,INLAND,6.4036697247706424,0.1819484240687679,2.889908256880734,92500.0
568,-122.06,37.71,36.0,3541.0,570.0,1478.0,529.0,4.635,NEAR_BAY,6.693761814744802,0.16097147698390285,2.7939508506616257,248600.0
9495,-122.46,38.53,32.0,1735.0,331.0,785.0,309.0,3.6641,INLAND,5.614886731391586,0.19077809798270892,2.540453074433657,275800.0
3454,-118.45,34.3,27.0,2676.0,,2661.0,623.0,4.3047,1H_OCEAN,4.295345104333868,,4.271268057784912,152100.0
5028,-118.27,33.96,34.0,1040.0,276.0,1083.0,255.0,1.6467,1H_OCEAN,4.078431372549019,0.2653846153846154,4.247058823529412,90900.0
19013,-119.25,36.23,24.0,2015.0,355.0,1031.0,351.0,3.4306,INLAND,5.7407407407407405,0.1761786600496278,2.9373219373219372,139200.0
7399,-118.12,33.96,34.0,2863.0,451.0,1243.0,466.0,6.0723,1H_OCEAN,6.143776824034335,0.1575270695075096,2.667381974248927,297200.0
3911,-118.61,34.21,41.0,1058.0,228.0,778.0,245.0,3.3534,1H_OCEAN,4.318367346938776,0.21550094517958412,3.1755102040816325,180500.0
5090,-118.28,33.93,45.0,529.0,112.0,448.0,120.0,3.5833,1H_OCEAN,4.408333333333333,0.21172022684310018,3.7333333333333334,90600.0
218,-122.21,37.79,35.0,1745.0,409.0,1143.0,386.0,2.875,NEAR_BAY,4.520725388601036,0.2343839541547278,2.961139896373057,143800.0
15850,-121.42,37.75,33.0,1329.0,266.0,683.0,233.0,4.3687,INLAND,5.703862660944206,0.200150489089541,2.9313304721030042,128700.0
12800,-117.58,34.1,4.0,6360.0,1584.0,3359.0,1396.0,3.5186,INLAND,4.555873925501433,0.2490566037735849,2.406160458452722,127800.0
19639,-121.54,39.12,17.0,4251.0,899.0,3265.0,934.0,2.3496,INLAND,4.5513918629550325,0.21147965184662432,3.4957173447537473,65000.0
2731,-115.51,32.68,11.0,2872.0,610.0,2644.0,581.0,2.625,INLAND,4.943201376936317,0.21239554317548748,4.550774526678141,72700.0
693,-122.04,37.63,21.0,1307.0,236.0,586.0,249.0,4.7813,NEAR_BAY,5.248995983935743,0.180566182096404,2.353413654618474,241900.0
17743,-121.75,36.95,27.0,1580.0,303.0,1066.0,306.0,4.7071,1H_OCEAN,5.163398692810458,0.19177215189873417,3.4836601307189543,202700.0
13602,-117.04,32.71,28.0,5274.0,991.0,3727.0,961.0,3.57,NEAR_OCEAN,5.488033298647243,0.18790291998483125,3.878251821019771,109800.0
9650,-117.91,33.91,34.0,1763.0,303.0,894.0,297.0,5.0096,1H_OCEAN,5.936026936026936,0.17186613726602382,3.01010101010101,221700.0
19353,-119.17,34.16,17.0,5276.0,1020.0,4066.0,984.0,4.5828,NEAR_OCEAN,5.361788617886178,0.19332827899924185,4.132113821138211,205400.0
7445,-118.15,33.93,25.0,1948.0,433.0,1128.0,429.0,3.7614,1H_OCEAN,4.540792540792541,0.22227926078028748,2.629370629370629,255900.0
3823,-118.44,34.17,29.0,2685.0,642.0,1085.0,599.0,3.2763,1H_OCEAN,4.482470784641069,0.23910614525139665,1.8113522537562605,279400.0
18389,-122.78,38.53,9.0,3659.0,652.0,1889.0,632.0,4.2716,1H_OCEAN,5.7895569620253164,0.17819076250341623,2.9889240506329116,250800.0
17158,-121.95,37.29,30.0,3734.0,813.0,1834.0,824.0,3.4505,1H_OCEAN,4.531553398058253,0.2177289769683985,2.2257281553398056,260000.0
7014,-118.2,33.98,43.0,1091.0,320.0,1418.0,316.0,2.1522,1H_OCEAN,3.4525316455696204,0.2933088909257562,4.487341772151899,159400.0
16139,-122.4,37.62,44.0,1619.0,362.0,1064.0,335.0,4.0238,NEAR_OCEAN,4.832835820895522,0.22359481161210623,3.1761194029850746,224200.0
9533,-121.18,39.23,8.0,2112.0,360.0,782.0,344.0,3.7125,INLAND,6.1395348837209305,0.17045454545454544,2.2732558139534884,175000.0
11342,-117.39,33.95,35.0,1599.0,284.0,721.0,287.0,4.125,INLAND,5.571428571428571,0.17761100687929957,2.5121951219512195,120700.0
5729,-117.78,34.09,32.0,2643.0,516.0,1862.0,478.0,3.7177,INLAND,5.52928870292887,0.1952326901248581,3.8953974895397487,177200.0
15495,-121.34,37.96,23.0,2830.0,659.0,1554.0,654.0,3.0354,INLAND,4.327217125382263,0.23286219081272086,2.376146788990826,113700.0
10513,-117.89,33.84,35.0,3315.0,744.0,2425.0,687.0,3.5521,1H_OCEAN,4.82532751091703,0.2244343891402715,3.529839883551674,182800.0
1399,-122.08,37.93,35.0,4043.0,689.0,1832.0,662.0,5.0761,NEAR_BAY,6.1072507552870094,0.17041800643086816,2.7673716012084593,233200.0
16644,-119.81,34.46,22.0,3488.0,452.0,1479.0,458.0,7.1687,NEAR_OCEAN,7.615720524017467,0.12958715596330275,3.2292576419213974,384400.0
8612,-118.15,34.69,32.0,1300.0,234.0,712.0,249.0,3.25,INLAND,5.220883534136546,0.18,2.859437751004016,107500.0
19285,-119.27,34.27,52.0,459.0,112.0,276.0,107.0,2.375,NEAR_OCEAN,4.289719626168225,0.2440087145969499,2.5794392523364484,198400.0
2987,-119.16,34.95,14.0,4054.0,787.0,1581.0,579.0,3.0882,INLAND,7.001727115716753,0.1941292550567341,2.7305699481865284,148200.0
3066,-118.45,35.58,16.0,5396.0,1182.0,1802.0,807.0,1.8819,INLAND,6.686493184634449,0.2190511489992587,2.2329615861214376,69700.0
4594,-118.35,34.06,48.0,3551.0,826.0,1601.0,827.0,3.2279,1H_OCEAN,4.2938331318016925,0.23261053224443817,1.935912938331318,400000.0
8753,-119.62,37.33,7.0,3389.0,621.0,1268.0,474.0,3.0224,INLAND,7.149789029535865,0.18323989377397462,2.6751054852320677,147800.0
6166,-117.99,34.15,44.0,2492.0,611.0,1951.0,596.0,3.1304,INLAND,4.181208053691275,0.24518459069020868,3.273489932885906,185600.0
6443,-118.08,34.12,41.0,1598.0,280.0,807.0,282.0,5.5067,1H_OCEAN,5.666666666666667,0.17521902377972465,2.8617021276595747,325000.0
6719,-118.09,33.98,39.0,936.0,194.0,691.0,211.0,3.6875,1H_OCEAN,4.436018957345971,0.20726495726495728,3.2748815165876777,169500.0
3991,-118.54,34.17,34.0,2458.0,433.0,1034.0,373.0,5.6738,1H_OCEAN,6.589812332439679,0.17615947925142392,2.772117962466488,443600.0
9750,-117.92,33.86,26.0,745.0,161.0,247.0,151.0,3.6375,1H_OCEAN,4.933774834437086,0.21610738255033557,1.6357615894039734,133900.0
3860,-118.5,34.21,35.0,1668.0,332.0,807.0,311.0,4.5125,1H_OCEAN,5.363344051446945,0.19904076738609114,2.594855305466238,200300.0
14091,-117.05,32.81,17.0,1885.0,292.0,771.0,301.0,5.6402,1H_OCEAN,6.262458471760797,0.15490716180371353,2.5614617940199333,228600.0
9668,-117.92,33.9,13.0,1814.0,320.0,1010.0,313.0,6.3489,1H_OCEAN,5.795527156549521,0.17640573318632854,3.2268370607028753,337900.0
7231,-118.23,33.91,33.0,677.0,182.0,984.0,174.0,2.5893,1H_OCEAN,3.8908045977011496,0.2688330871491876,5.655172413793103,88900.0
17419,-122.16,37.44,34.0,2199.0,529.0,1193.0,532.0,4.2972,NEAR_BAY,4.133458646616542,0.2405638926784902,2.242481203007519,405900.0
435,-122.3,37.88,52.0,409.0,97.0,208.0,98.0,1.6971,NEAR_BAY,4.173469387755102,0.2371638141809291,2.122448979591837,138800.0
16086,-122.42,37.66,26.0,3253.0,932.0,2246.0,855.0,2.6631,NEAR_OCEAN,3.8046783625730995,0.28650476483246234,2.6269005847953215,244000.0
399,-122.28,37.88,52.0,1844.0,332.0,769.0,334.0,4.2614,NEAR_BAY,5.520958083832335,0.18004338394793926,2.302395209580838,261300.0
5687,-117.8,34.1,13.0,2996.0,495.0,1187.0,464.0,6.2456,INLAND,6.456896551724138,0.16522029372496663,2.5581896551724137,161700.0
18822,-122.11,39.82,27.0,1065.0,214.0,508.0,198.0,2.625,INLAND,5.378787878787879,0.20093896713615023,2.5656565656565657,91700.0
4372,-118.19,34.06,44.0,1734.0,364.0,1133.0,351.0,2.5132,1H_OCEAN,4.94017094017094,0.209919261822376,3.2279202279202277,163100.0
14456,-117.0,32.8,33.0,1816.0,325.0,768.0,316.0,4.5662,1H_OCEAN,5.746835443037975,0.1789647577092511,2.430379746835443,150300.0
1745,-122.36,37.95,38.0,1042.0,289.0,773.0,248.0,2.7714,NEAR_BAY,4.201612903225806,0.27735124760076774,3.1169354838709675,104700.0
14881,-117.06,33.17,4.0,5465.0,974.0,2844.0,950.0,4.4477,1H_OCEAN,5.752631578947368,0.17822506861848125,2.993684210526316,174800.0
10901,-117.99,33.71,18.0,1994.0,578.0,3031.0,577.0,2.7614,1H_OCEAN,3.4558058925476605,0.28986960882647944,5.253032928942807,237500.0
15084,-122.39,37.78,5.0,1405.0,515.0,725.0,392.0,3.6037,NEAR_BAY,3.5841836734693877,0.3665480427046263,1.8494897959183674,187500.0
3108,-117.68,34.99,33.0,1589.0,307.0,853.0,272.0,4.2292,INLAND,5.841911764705882,0.19320327249842667,3.136029411764706,64400.0
17911,-121.76,41.5,31.0,602.0,153.0,112.0,47.0,1.0667,INLAND,12.808510638297872,0.2541528239202658,2.382978723404255,34200.0
19161,-120.35,37.86,25.0,287.0,57.0,118.0,50.0,2.3056,INLAND,5.74,0.1986062717770035,2.36,162500.0
2521,-124.17,40.79,43.0,2285.0,479.0,1169.0,482.0,1.9688,NEAR_OCEAN,4.740663900414938,0.20962800875273524,2.425311203319502,70500.0
10368,-117.91,33.73,26.0,2413.0,512.0,2867.0,509.0,4.7639,1H_OCEAN,4.740667976424361,0.21218400331537504,5.632612966601179,179900.0
7286,-118.22,33.9,22.0,312.0,107.0,583.0,119.0,1.9423,1H_OCEAN,2.6218487394957983,0.34294871794871795,4.899159663865547,98400.0
2846,-118.96,35.37,40.0,1603.0,374.0,1026.0,337.0,1.365,INLAND,4.756676557863502,0.23331253898939489,3.0445103857566767,54300.0
11710,-116.88,33.93,37.0,1495.0,429.0,865.0,342.0,1.2188,INLAND,4.371345029239766,0.28695652173913044,2.5292397660818713,55000.0
12948,-117.3,34.15,33.0,1607.0,282.0,608.0,260.0,4.3438,INLAND,6.180769230769231,0.17548226509023024,2.3384615384615386,115000.0
8448,-118.36,34.09,34.0,2832.0,883.0,1594.0,843.0,1.7558,1H_OCEAN,3.3594306049822062,0.3117937853107345,1.8908659549228943,312500.0
4563,-118.3,34.05,34.0,1453.0,588.0,1987.0,589.0,2.096,1H_OCEAN,2.466893039049236,0.40467997247075016,3.3735144312393888,187500.0
5016,-118.28,33.97,40.0,2180.0,642.0,2464.0,631.0,1.5521,1H_OCEAN,3.4548335974643423,0.2944954128440367,3.9049128367670365,90100.0
16393,-119.76,34.44,28.0,1985.0,582.0,1092.0,548.0,2.4701,NEAR_OCEAN,3.622262773722628,0.2931989924433249,1.9927007299270072,290900.0
13242,-117.21,34.51,17.0,4379.0,629.0,1720.0,595.0,5.086,INLAND,7.359663865546218,0.14364010047956155,2.8907563025210083,148400.0
16935,-121.86,37.35,43.0,1536.0,371.0,1256.0,357.0,2.8,1H_OCEAN,4.302521008403361,0.24153645833333334,3.518207282913165,153300.0
4172,-118.35,34.1,18.0,7432.0,2793.0,3596.0,2270.0,2.8036,1H_OCEAN,3.2740088105726874,0.37580731969860065,1.5841409691629955,225000.0
14243,-117.09,32.65,20.0,1445.0,323.0,573.0,334.0,2.619,NEAR_OCEAN,4.326347305389222,0.2235294117647059,1.715568862275449,145800.0
10582,-117.99,33.84,31.0,2982.0,547.0,1895.0,570.0,4.9115,1H_OCEAN,5.231578947368421,0.18343393695506371,3.324561403508772,255500.0
2648,-115.59,32.96,17.0,841.0,146.0,473.0,154.0,3.1979,INLAND,5.461038961038961,0.17360285374554102,3.0714285714285716,113500.0
12949,-117.3,34.15,38.0,740.0,163.0,332.0,138.0,2.4107,INLAND,5.36231884057971,0.22027027027027027,2.4057971014492754,88000.0
16145,-122.41,37.61,43.0,1934.0,303.0,847.0,300.0,4.7381,NEAR_OCEAN,6.446666666666666,0.15667011375387796,2.8233333333333333,347400.0
17841,-122.45,40.46,16.0,2734.0,501.0,1413.0,484.0,2.8085,INLAND,5.648760330578512,0.18324798829553768,2.919421487603306,105700.0
7623,-118.08,33.86,26.0,778.0,173.0,539.0,186.0,3.2679,1H_OCEAN,4.182795698924731,0.22236503856041132,2.8978494623655915,236500.0
11813,-116.31,33.65,8.0,3079.0,558.0,1572.0,474.0,4.5938,INLAND,6.4957805907173,0.18122767132185774,3.3164556962025316,102600.0
11411,-117.53,34.02,19.0,256.0,34.0,101.0,28.0,5.3269,INLAND,9.142857142857142,0.1328125,3.607142857142857,375000.0
14833,-117.22,33.18,13.0,4273.0,886.0,2328.0,801.0,3.3444,1H_OCEAN,5.33458177278402,0.20734846711912006,2.906367041198502,183900.0
7182,-118.22,33.94,40.0,930.0,258.0,1203.0,244.0,2.5938,1H_OCEAN,3.8114754098360657,0.27741935483870966,4.930327868852459,115400.0
1333,-121.9,38.0,14.0,1930.0,363.0,990.0,322.0,4.1094,INLAND,5.9937888198757765,0.18808290155440416,3.0745341614906834,162200.0
5998,-117.98,34.06,33.0,1353.0,228.0,1079.0,237.0,4.5417,1H_OCEAN,5.708860759493671,0.16851441241685144,4.552742616033755,160300.0
12451,-121.15,38.68,6.0,9798.0,1551.0,4583.0,1494.0,5.0159,INLAND,6.5582329317269075,0.15829761175750154,3.06760374832664,189600.0
18116,-122.42,38.31,18.0,1479.0,246.0,550.0,217.0,4.7356,NEAR_BAY,6.815668202764977,0.1663286004056795,2.5345622119815667,333300.0
15818,-121.22,37.79,5.0,3107.0,477.0,1549.0,443.0,4.4766,INLAND,7.013544018058691,0.1535242999678146,3.4966139954853275,169400.0
11971,-121.45,38.54,41.0,1278.0,308.0,839.0,280.0,1.4702,INLAND,4.564285714285714,0.24100156494522693,2.9964285714285714,58300.0
8212,-118.33,33.9,21.0,6603.0,1984.0,5546.0,1745.0,2.6091,1H_OCEAN,3.7839541547277937,0.3004694835680751,3.1782234957020057,163900.0
8397,-118.31,33.82,26.0,2345.0,408.0,1195.0,377.0,5.4925,1H_OCEAN,6.220159151193634,0.1739872068230277,3.169761273209549,361700.0
14799,-117.24,33.2,26.0,1701.0,404.0,989.0,367.0,2.5119,1H_OCEAN,4.6348773841961854,0.23750734861845973,2.6948228882833787,171700.0
18852,-123.21,40.51,16.0,241.0,84.0,152.0,61.0,1.375,INLAND,3.9508196721311477,0.34854771784232363,2.4918032786885247,48800.0
14620,-117.26,32.98,12.0,3900.0,977.0,1690.0,892.0,4.125,NEAR_OCEAN,4.37219730941704,0.25051282051282053,1.8946188340807175,226900.0
12953,-117.31,34.14,38.0,2011.0,448.0,1190.0,403.0,1.8654,INLAND,4.990074441687345,0.2227747389358528,2.9528535980148884,89400.0
3154,-119.79,36.31,25.0,4984.0,1029.0,2414.0,961.0,2.2937,INLAND,5.186264308012487,0.20646067415730338,2.5119667013527573,72300.0
11297,-117.38,33.98,52.0,2274.0,571.0,1167.0,504.0,2.0284,INLAND,4.511904761904762,0.2510993843447669,2.3154761904761907,101600.0
15959,-120.59,35.11,25.0,3642.0,726.0,1729.0,673.0,3.155,1H_OCEAN,5.411589895988113,0.19934102141680396,2.5690936106983657,205400.0
2793,-119.03,35.4,35.0,2608.0,620.0,1566.0,583.0,2.1818,INLAND,4.473413379073756,0.23773006134969324,2.686106346483705,63500.0
14563,-117.09,33.03,17.0,2786.0,396.0,1228.0,396.0,6.4211,1H_OCEAN,7.0353535353535355,0.14213926776740848,3.101010101010101,220700.0
15565,-121.3,37.92,28.0,3308.0,766.0,3201.0,720.0,1.7694,INLAND,4.594444444444444,0.23155985489721886,4.445833333333334,73900.0
12004,-121.51,38.52,30.0,3236.0,588.0,1167.0,569.0,4.0972,INLAND,5.687170474516696,0.18170580964153277,2.0509666080843587,181400.0
1602,-122.14,37.85,27.0,9147.0,1276.0,3371.0,1269.0,7.3267,NEAR_BAY,7.208037825059102,0.13949928938449765,2.656422379826635,389900.0
4268,-118.37,34.08,52.0,1234.0,223.0,543.0,213.0,6.0338,1H_OCEAN,5.793427230046948,0.18071312803889789,2.5492957746478875,423700.0
3140,-118.92,35.26,20.0,3815.0,924.0,3450.0,920.0,2.0174,INLAND,4.146739130434782,0.24220183486238533,3.75,63700.0
18742,-121.61,39.13,21.0,1432.0,328.0,933.0,336.0,1.6823,INLAND,4.261904761904762,0.22905027932960895,2.7767857142857144,83800.0
4264,-118.37,34.08,52.0,2946.0,695.0,1258.0,650.0,3.9783,1H_OCEAN,4.532307692307692,0.23591310251188052,1.9353846153846155,374100.0
4071,-118.17,34.12,30.0,3376.0,720.0,1990.0,725.0,3.7813,1H_OCEAN,4.656551724137931,0.2132701421800948,2.7448275862068967,232000.0
13340,-114.64,34.83,10.0,2502.0,573.0,1152.0,481.0,1.7062,INLAND,5.201663201663202,0.2290167865707434,2.395010395010395,86800.0
17385,-122.08,37.38,36.0,857.0,156.0,448.0,168.0,5.0086,NEAR_BAY,5.101190476190476,0.18203033838973162,2.6666666666666665,366700.0
16089,-122.43,37.64,34.0,8400.0,1812.0,4101.0,1717.0,4.1033,NEAR_OCEAN,4.892253931275481,0.21571428571428572,2.388468258590565,301000.0
16191,-122.31,37.55,52.0,900.0,183.0,371.0,166.0,3.25,NEAR_OCEAN,5.421686746987952,0.20333333333333334,2.2349397590361444,296400.0
1886,-120.06,39.01,19.0,2967.0,528.0,112.0,48.0,4.0714,INLAND,61.8125,0.17795753286147623,2.3333333333333335,437500.0
10230,-117.92,33.64,25.0,2224.0,580.0,985.0,516.0,3.1305,1H_OCEAN,4.310077519379845,0.2607913669064748,1.9089147286821706,268800.0
18394,-122.87,38.62,52.0,1514.0,348.0,767.0,354.0,2.1903,1H_OCEAN,4.27683615819209,0.22985468956406868,2.1666666666666665,160000.0
18542,-120.99,37.66,39.0,1748.0,329.0,831.0,302.0,2.5938,INLAND,5.788079470198675,0.18821510297482838,2.751655629139073,135600.0
16827,-121.89,37.29,36.0,2959.0,529.0,1125.0,520.0,4.2614,1H_OCEAN,5.690384615384615,0.17877661372085163,2.1634615384615383,268800.0
10438,-117.81,33.75,25.0,2365.0,471.0,1197.0,458.0,3.7031,1H_OCEAN,5.163755458515284,0.19915433403805496,2.61353711790393,227800.0
5044,-118.28,33.94,43.0,1201.0,292.0,840.0,252.0,2.7917,1H_OCEAN,4.765873015873016,0.24313072439633637,3.3333333333333335,105600.0
18283,-122.66,38.47,23.0,2246.0,437.0,1035.0,386.0,3.7617,1H_OCEAN,5.818652849740933,0.19456812110418523,2.6813471502590676,172600.0
1523,-122.04,37.89,33.0,2423.0,322.0,998.0,346.0,7.5349,NEAR_BAY,7.002890173410405,0.13289310771770532,2.884393063583815,349100.0
5254,-118.46,34.0,52.0,888.0,206.0,376.0,194.0,3.875,1H_OCEAN,4.577319587628866,0.23198198198198197,1.9381443298969072,372000.0
7785,-118.2,33.82,34.0,2807.0,768.0,2217.0,744.0,2.4286,NEAR_OCEAN,3.7728494623655915,0.27360171001068756,2.9798387096774195,204800.0
6268,-118.03,34.06,27.0,2510.0,783.0,3481.0,726.0,2.4875,1H_OCEAN,3.4573002754820936,0.31195219123505974,4.794765840220386,157800.0
17034,-121.91,37.44,19.0,2174.0,484.0,1645.0,484.0,5.0362,1H_OCEAN,4.491735537190083,0.22263109475620976,3.3987603305785123,255100.0
17503,-121.82,37.23,23.0,4487.0,584.0,2024.0,580.0,7.5218,1H_OCEAN,7.7362068965517246,0.1301537775796746,3.489655172413793,291500.0
16244,-122.26,37.56,23.0,7283.0,1342.0,3399.0,1298.0,5.6683,NEAR_BAY,5.610939907550077,0.18426472607441988,2.6186440677966103,391000.0
8733,-118.56,34.41,4.0,17313.0,3224.0,6902.0,2707.0,5.6798,1H_OCEAN,6.395640930919837,0.18621844856466238,2.549685999261175,320900.0
10773,-117.92,33.75,19.0,1920.0,471.0,1413.0,432.0,4.0313,1H_OCEAN,4.444444444444445,0.2453125,3.2708333333333335,147500.0
6985,-118.25,33.98,37.0,1503.0,392.0,1886.0,401.0,2.5637,1H_OCEAN,3.748129675810474,0.26081170991350633,4.703241895261845,125000.0
